,result,table,_start,_stop,_time,_value,_field,_measurement,inventory-cluster-id,inventory-rack-id,inventory-server-id,node_fqdn,plugin,status,vm_id,vm_name
,_result,6,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:09:04Z,4294967296,mem_total,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,7,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:00:05Z,3908431872,mem_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,7,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:01:04Z,3867492352,mem_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,7,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:02:04Z,3956289536,mem_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,7,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:03:07Z,3962540032,mem_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,7,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:04:05Z,3964047360,mem_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,7,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:05:06Z,3899518976,mem_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,7,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:06:07Z,3880681472,mem_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,7,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:07:07Z,3883806720,mem_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,7,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:08:08Z,3968479232,mem_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,7,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:09:04Z,3964186624,mem_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2

,result,table,_start,_stop,_time,_value,_field,_measurement,inventory-cluster-id,inventory-rack-id,inventory-server-id,node_fqdn,plugin,status,vm_id,vm_name
,_result,8,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:00:05Z,91.00027084350586,mem_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,8,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:01:04Z,90.04707336425781,mem_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,8,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:02:04Z,92.11454391479492,mem_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,8,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:03:07Z,92.26007461547852,mem_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,8,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:04:05Z,92.29516983032227,mem_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,8,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:05:06Z,90.79275131225586,mem_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,8,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:06:07Z,90.35415649414062,mem_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
