_time,url,uuid,vm_id,vm_name,scaph_process_cpu_usage_percentage,scaph_process_disk_read_bytes,scaph_process_disk_total_read_bytes,scaph_process_disk_total_write_bytes,scaph_process_disk_write_bytes,scaph_process_memory_bytes,scaph_process_memory_virtual_bytes,scaph_process_power_consumption_microwatts
2025-08-04 06:11:02+00:00,http://flux-node5.av.it.pt:8080/metrics,5a48f6ee-b6fa-4bbb-8fa7-64e34e000dde,305,neuronet-k8s-w3,1.0471727,0.0,5343444554.0,79107919872.0,712704.0,4233900032.0,9896853504.0,738079.3172521805
2025-08-04 06:11:02+00:00,http://flux-node5.av.it.pt:8080/metrics,595fba49-ae34-49b8-b9de-956a6fee8367,183,neuronet-w2,6.694916,0.0,82741536697.0,415005511680.0,4800512.0,34028871680.0,40045907968.0,4718781.36626648
2025-08-04 06:11:02+00:00,http://flux-node5.av.it.pt:8080/metrics,50c53a25-5073-4302-bd3c-67f4de72d2a0,181,neuronet-m3,4.1768336,0.0,112275892151.0,1690212900864.0,10092544.0,4350345216.0,10437226496.0,2943960.0697202208
2025-08-04 06:11:02+00:00,http://flux-node5.av.it.pt:8080/metrics,a2852a33-8cf2-4621-90ea-85fd02bf17e5,184,neuronet-w3,3.6339016,0.0,85044025273.0,911823138816.0,2060288.0,34266873856.0,40054206464.0,2561284.9696204755
2025-08-04 06:11:02+00:00,http://flux-node3.av.it.pt:8080/metrics,d73e81c0-f052-4b31-9811-0fe16434f778,306,neuronet-k8s-lb,0.07962463,0.0,2705370612.0,27448115200.0,12288.0,2143072256.0,7462936576.0,64443.064830414725
2025-08-04 06:11:02+00:00,http://flux-node3.av.it.pt:8080/metrics,a70cec07-8f49-4109-90fe-0262d766bb7b,185,neuronet-lb,0.14218684,0.0,14706027984.0,108414291968.0,90112.0,2157367296.0,7449223168.0,115076.89760644094
2025-08-04 06:11:02+00:00,http://flux-node5.av.it.pt:8080/metrics,42f9eb09-924d-45d3-9ed1-2a64ceab82ef,304,neuronet-k8s-w2,3.0073452,0.0,5474020938.0,74104033280.0,1548288.0,4294053888.0,9611620352.0,2119668.861283684
2025-08-04 06:12:02+00:00,http://flux-node4.av.it.pt:8080/metrics,c5237c73-cef8-42c1-bc97-fe0982b9d219,179,neuronet-m1,4.8320694,0.0,7580810492.0,1248412053504.0,8019968.0,4241072128.0,9236901888.0,2970926.3057808685
2025-08-04 06:12:02+00:00,http://flux-node4.av.it.pt:8080/metrics,d0963dbe-dc40-4955-906f-4435bf06ccee,182,neuronet-w1,3.9326377,0.0,1681846346.0,97598361600.0,1404928.0,33949200384.0,39684583424.0,2417924.042253213
2025-08-04 06:12:02+00:00,http://flux-node5.av.it.pt:8080/metrics,42f9eb09-924d-45d3-9ed1-2a64ceab82ef,304,neuronet-k8s-w2,2.61301,0.0,5474020938.0,74105057280.0,970752.0,4294053888.0,9603227648.0,1778990.6484237337
2025-08-04 06:12:02+00:00,http://flux-node5.av.it.pt:8080/metrics,50c53a25-5073-4302-bd3c-67f4de72d2a0,181,neuronet-m3,4.2676234,0.0,112275892151.0,1690226044928.0,10600448.0,4350345216.0,10437226496.0,2905485.385671544
2025-08-04 06:12:02+00:00,http://flux-node5.av.it.pt:8080/metrics,595fba49-ae34-49b8-b9de-956a6fee8367,183,neuronet-w2,7.1252503,0.0,82741536697.0,415010328576.0,3616768.0,34028871680.0,40045907968.0,4851016.285011535
2025-08-04 06:12:02+00:00,http://flux-node5.av.it.pt:8080/metrics,5a48f6ee-b6fa-4bbb-8fa7-64e34e000dde,305,neuronet-k8s-w3,1.0292724,0.0,5343444554.0,79108878336.0,958464.0,4233900032.0,9905246208.0,700749.7443815005
2025-08-04 06:12:02+00:00,http://flux-node5.av.it.pt:8080/metrics,8cdf92b6-d702-4a42-b43f-b973491c8942,303,neuronet-k8s-w1,1.6696669,0.0,6872657482.0,95195615232.0,1486848.0,4132913152.0,9941901312.0,1136743.3942943895
2025-08-04 06:12:02+00:00,http://flux-node5.av.it.pt:8080/metrics,a2852a33-8cf2-4621-90ea-85fd02bf17e5,184,neuronet-w3,3.700614,0.0,85044025273.0,911825694720.0,2318336.0,34266873856.0,40054206464.0,2519453.7461054325
2025-08-04 06:13:02+00:00,http://flux-node5.av.it.pt:8080/metrics,a2852a33-8cf2-4621-90ea-85fd02bf17e5,184,neuronet-w3,3.7067673,0.0,85044025273.0,911828525056.0,2551808.0,34266873856.0,40054206464.0,2521525.949258776
2025-08-04 06:13:02+00:00,http://flux-node5.av.it.pt:8080/metrics,8cdf92b6-d702-4a42-b43f-b973491c8942,303,neuronet-k8s-w1,1.6976556,0.0,6872657482.0,95197622272.0,1507328.0,4132913152.0,9941901312.0,1154829.0393224286
2025-08-04 06:13:02+00:00,http://flux-node5.av.it.pt:8080/metrics,5a48f6ee-b6fa-4bbb-8fa7-64e34e000dde,305,neuronet-k8s-w3,1.1349037,0.0,5343444554.0,79109480448.0,602112.0,4233900032.0,9896853504.0,772017.449345808
2025-08-04 06:13:02+00:00,http://flux-node5.av.it.pt:8080/metrics,595fba49-ae34-49b8-b9de-956a6fee8367,183,neuronet-w2,7.0350246,0.0,82741536697.0,415015522304.0,4517888.0,34028871680.0,40045907968.0,4785570.729546127
2025-08-04 06:13:02+00:00,http://flux-node5.av.it.pt:8080/metrics,50c53a25-5073-4302-bd3c-67f4de72d2a0,181,neuronet-m3,4.517055,0.0,112275892151.0,1690239180800.0,11436032.0,4350345216.0,10437226496.0,3072723.6157147028
2025-08-04 06:13:02+00:00,http://flux-node5.av.it.pt:8080/metrics,42f9eb09-924d-45d3-9ed1-2a64ceab82ef,304,neuronet-k8s-w2,2.3017678,0.0,5474020938.0,74107015168.0,1642496.0,4294053888.0,9603227648.0,1565775.9984890176
2025-08-04 06:13:02+00:00,http://flux-node4.av.it.pt:8080/metrics,d0963dbe-dc40-4955-906f-4435bf06ccee,182,neuronet-w1,3.9981956,0.0,1681846346.0,97599950848.0,1187840.0,33949200384.0,39684583424.0,2432951.829461479
2025-08-04 06:13:02+00:00,http://flux-node4.av.it.pt:8080/metrics,c5237c73-cef8-42c1-bc97-fe0982b9d219,179,neuronet-m1,4.928892,0.0,7580810492.0,1248425316352.0,9007104.0,4241072128.0,9236901888.0,2999292.22923193
2025-08-04 06:13:02+00:00,http://flux-node3.av.it.pt:8080/metrics,d73e81c0-f052-4b31-9811-0fe16434f778,306,neuronet-k8s-lb,0.07412475,0.0,2705370612.0,27448471552.0,8192.0,2143334400.0,7446151168.0,58071.37771565914
2025-08-04 06:13:02+00:00,http://flux-node3.av.it.pt:8080/metrics,a70cec07-8f49-4109-90fe-0262d766bb7b,185,neuronet-lb,0.07127381,0.0,14706027984.0,108415881216.0,20480.0,2157367296.0,7440830464.0,55837.87082112134
2025-08-04 06:14:02+00:00,http://flux-node5.av.it.pt:8080/metrics,8cdf92b6-d702-4a42-b43f-b973491c8942,303,neuronet-k8s-w1,1.6830629,0.0,6872657482.0,95199440896.0,1806336.0,4132913152.0,9941901312.0,1165531.6018646122
2025-08-04 06:14:02+00:00,http://flux-node5.av.it.pt:8080/metrics,5a48f6ee-b6fa-4bbb-8fa7-64e34e000dde,305,neuronet-k8s-w3,0.99880946,0.0,5343444554.0,79110418432.0,532480.0,4233900032.0,9888460800.0,691681.8013986897
