_time,container_name,namespace,pod_name,cpu_millicores,memory_usage_mb,logsfs_usage_percent,container_power_watts
2025-08-04 06:10:00+00:00,node-exporter,optimiter,prometheus-prometheus-node-exporter-5knrk,0.096633,11.2421875,1.3161623286175676e-05,9701.30905
2025-08-04 06:10:00+00:00,kube-controller-manager,kube-system,kube-controller-manager-neuronet-m1,118.315573,97.0078125,0.002875814688029385,3775.5526499999996
2025-08-04 06:10:00+00:00,etcd,kube-system,etcd-neuronet-m1,320.484095,232.6171875,0.036437954067777355,699037.3696999999
2025-08-04 06:10:00+00:00,coredns,kube-system,coredns-5dd5756b68-znnhh,6.783153,32.1171875,0.0006975660341673108,20632.16715
2025-08-04 06:10:00+00:00,kepler-exporter,optimiter,kepler-gjk9b,6.330005,122.21875,0.0002105859725788108,32214.07535
2025-08-04 06:10:00+00:00,kube-apiserver,kube-system,kube-apiserver-neuronet-m1,394.035235,1024.1015625,0.03980732962903833,61503.57045
2025-08-04 06:11:00+00:00,kube-scheduler,kube-system,kube-scheduler-neuronet-m1,14.821484,22.734375,0.00013819704450484458,463.3716
2025-08-04 06:11:00+00:00,kube-multus,kube-system,kube-multus-ds-b68jx,0.01576,1.59765625,1.3161623286175676e-05,0.2826
2025-08-04 06:11:00+00:00,kube-proxy,kube-system,kube-proxy-zk9zk,2.334954,33.08984375,0.0012503542121866892,6145.1948
2025-08-04 06:11:00+00:00,kube-flannel,kube-flannel,kube-flannel-ds-mwgcj,29.33896,17.515625,0.00027639408900968917,38262.4589
2025-08-04 06:11:00+00:00,ovs-cni-marker,cluster-network-addons,ovs-cni-amd64-8h9vl,0.369392,6.65625,6.580811643087838e-06,44.32905
2025-08-04 06:11:00+00:00,node-exporter,optimiter,prometheus-prometheus-node-exporter-5knrk,0.354633,11.33203125,1.3161623286175676e-05,9701.6408
2025-08-04 06:11:00+00:00,etcd,kube-system,etcd-neuronet-m1,311.30817,234.6796875,0.036437954067777355,699065.8464
2025-08-04 06:11:00+00:00,coredns,kube-system,coredns-5dd5756b68-znnhh,7.577422,32.8125,0.0006975660341673108,20632.841200000003
2025-08-04 06:11:00+00:00,kube-controller-manager,kube-system,kube-controller-manager-neuronet-m1,94.380205,97.01171875,0.002882395499672473,3783.8292
2025-08-04 06:11:00+00:00,kube-apiserver,kube-system,kube-apiserver-neuronet-m1,784.942916,1257.4921875,0.03980732962903833,61536.05395
2025-08-04 06:11:00+00:00,kepler-exporter,optimiter,kepler-gjk9b,6.440834,118.6875,0.0002105859725788108,32215.5231
2025-08-04 06:12:00+00:00,kube-scheduler,kube-system,kube-scheduler-neuronet-m1,12.983006,22.73828125,0.00013819704450484458,464.44059999999996
2025-08-04 06:12:00+00:00,kube-flannel,kube-flannel,kube-flannel-ds-mwgcj,40.137153,17.140625,0.00027639408900968917,38263.647450000004
2025-08-04 06:12:00+00:00,kube-multus,kube-system,kube-multus-ds-b68jx,0.011627,1.59765625,1.3161623286175676e-05,0.2826
2025-08-04 06:12:00+00:00,kube-proxy,kube-system,kube-proxy-zk9zk,0.421085,33.09375,0.0012503542121866892,6145.3144999999995
2025-08-04 06:12:00+00:00,ovs-cni-marker,cluster-network-addons,ovs-cni-amd64-8h9vl,0.165911,6.66015625,6.580811643087838e-06,44.348949999999995
2025-08-04 06:12:00+00:00,node-exporter,optimiter,prometheus-prometheus-node-exporter-5knrk,5.249381,11.4375,1.3161623286175676e-05,9702.0342
2025-08-04 06:12:00+00:00,kube-controller-manager,kube-system,kube-controller-manager-neuronet-m1,93.316433,97.0078125,0.002882395499672473,3790.58945
2025-08-04 06:12:00+00:00,etcd,kube-system,etcd-neuronet-m1,329.591967,235.4921875,0.036437954067777355,699093.5804999999
2025-08-04 06:12:00+00:00,coredns,kube-system,coredns-5dd5756b68-znnhh,7.073819,33.33984375,0.0006975660341673108,20633.5508
2025-08-04 06:12:00+00:00,kepler-exporter,optimiter,kepler-gjk9b,5.096821,122.21875,0.0002105859725788108,32217.0278
2025-08-04 06:12:00+00:00,kube-apiserver,kube-system,kube-apiserver-neuronet-m1,407.592496,1257.73046875,0.03980732962903833,61573.5342
2025-08-04 06:13:00+00:00,kube-scheduler,kube-system,kube-scheduler-neuronet-m1,13.293661,22.73828125,0.00013819704450484458,465.57489999999996
2025-08-04 06:13:00+00:00,kube-flannel,kube-flannel,kube-flannel-ds-mwgcj,27.072118,17.16015625,0.00027639408900968917,38264.9972
2025-08-04 06:13:00+00:00,kube-multus,kube-system,kube-multus-ds-b68jx,0.018081,1.59765625,1.3161623286175676e-05,0.2826
2025-08-04 06:13:00+00:00,kube-proxy,kube-system,kube-proxy-zk9zk,2.900483,33.08203125,0.0012503542121866892,6145.717900000001
